time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,ADX
2017-09-25,0.0216779,0.0304672,0.0193715,0.0211592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-10-02,0.0211592,0.0299778,0.0177589,0.0211092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-10-09,0.0211092,0.0377432,0.0204148,0.0302856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-10-16,0.0302856,0.0308552,0.0248471,0.0278998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-10-23,0.0278998,0.0298368,0.0241272,0.0287651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-10-30,0.0287651,0.0306361,0.019044,0.022095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-11-06,0.022095,0.034791,0.0207862,0.0238665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-11-13,0.0238665,0.0284778,0.0237862,0.0283193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-11-20,0.0283193,0.0396186,0.0271653,0.0376595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-11-27,0.0376595,0.145898,0.0368587,0.13066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-12-04,0.13066,0.144895,0.102622,0.108952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-12-11,0.108952,0.576844,0.108952,0.510468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-12-18,0.510468,0.589589,0.307842,0.394238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-12-25,0.394238,0.756516,0.367425,0.727528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-01,0.727528,1.31513,0.673824,1.01626,NaN,NaN,NaN,88.59407382286811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-08,1.01626,1.01626,0.617729,0.813374,NaN,NaN,NaN,75.75505274890848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-15,0.813374,0.877351,0.451362,0.617194,NaN,NaN,NaN,65.82194225993817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-22,0.617194,0.68173,0.526951,0.669135,NaN,NaN,NaN,67.05368706799243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-01-29,0.669135,0.670286,0.279625,0.39757,NaN,NaN,NaN,55.74250450991034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-02-05,0.39757,0.459408,0.270898,0.374264,0.30004010999999997,0.932751884682191,-0.332671664682191,54.88678434684353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-02-12,0.374264,0.428074,0.363309,0.389525,0.31845840000000003,0.9389532451925833,-0.3020364451925832,55.369924180934674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-02-19,0.389525,0.404329,0.315684,0.344618,0.33463384,0.9399608830602764,-0.2706932030602763,53.552466635951426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-02-26,0.344618,0.346955,0.287308,0.301514,0.34819526,0.9375839222022326,-0.24119340220223262,51.79508098269195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-03-05,0.301514,0.313684,0.19333,0.223719,0.35798622,0.9320738222551316,-0.21610138225513154,48.68950774443023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-03-12,0.223719,0.237342,0.127855,0.159321,0.364514015,0.9263168197184501,-0.1972887897184501,46.219038002661456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-03-19,0.159321,0.226875,0.157007,0.184423,0.37263041500000005,0.9188861115045848,-0.17362528150458467,47.34064401220308,NaN,NaN,NaN,NaN,NaN,NaN,0.029255997652478938,NaN,NaN
2018-03-26,0.184423,0.184701,0.136983,0.150207,0.37894744,0.9116789372583596,-0.15378405725835953,45.93441659387446,NaN,NaN,NaN,NaN,NaN,NaN,0.01340737324922664,NaN,NaN
2018-04-02,0.150207,0.178922,0.142206,0.156551,0.38535902499999997,0.9039556228245977,-0.1332375728245978,46.25319775670259,57.357737190422206,NaN,NaN,NaN,NaN,NaN,0.0013436433236104772,NaN,38.877653176994116
2018-04-09,0.156551,0.223444,0.147702,0.220163,0.3944842,0.8943724969206621,-0.1054040969206621,49.47039870167192,54.563188967479626,NaN,NaN,NaN,NaN,NaN,-0.003048847567668489,NaN,36.999498177011084
