time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,ADX
2025-06-28T14:45:00+02:00,0.558824,0.559059,0.558193,0.558232,0.5598895000000054,0.5617530053465187,0.558025994653492,41.79226572910985,47.27316858021907,NaN,NaN,NaN,NaN,-0.0002598604488313758,-0.0004409660843013308,-0.00018110563546995496,14.27600571324111
2025-06-28T15:00:00+02:00,0.558219,0.558413,0.557638,0.557638,0.5597044500000055,0.5616867008836304,0.5577221991163805,39.304753208978575,46.43504125637706,NaN,NaN,NaN,NaN,-0.0002895598172536598,-0.0005430554070370297,-0.0002534955897833699,14.49314770288201
2025-06-28T15:15:00+02:00,0.557637,0.557637,0.555733,0.556013,0.5594670000000054,0.5619580774328063,0.5569759225672044,33.440718153381795,44.87290408326026,NaN,NaN,NaN,NaN,-0.00039438823471274833,-0.0007464808831743053,-0.00035209264846155694,16.116090341110848
2025-06-28T15:30:00+02:00,0.556039,0.557,0.555638,0.55639,0.5592616000000055,0.5620396755453904,0.5564835244546206,35.83259401169161,43.910627483293055,NaN,NaN,NaN,NaN,-0.0004121489522261685,-0.0008672788387442676,-0.0004551298865180991,17.68033066789885
2025-06-28T15:45:00+02:00,0.556418,0.556935,0.556418,0.556696,0.5590959500000054,0.5620645664060007,0.5561273335940102,37.78683040023832,42.83717641415469,NaN,NaN,NaN,NaN,-0.000377997959334826,-0.0009276273356866316,-0.0005496293763518056,19.132839542773425
2025-06-28T16:00:00+02:00,0.556674,0.558075,0.556674,0.558075,0.5590405000000054,0.5620417167159758,0.556039283284035,45.79815302430153,42.590211260713964,NaN,NaN,NaN,NaN,-0.0002437620764511604,-0.000854331971915756,-0.0006105698954645956,18.994999957218887
2025-06-28T16:15:00+02:00,0.558008,0.559459,0.558008,0.559281,0.5590216500000054,0.5620118318148981,0.5560314681851126,51.66074382092963,42.8000114548194,NaN,NaN,NaN,NaN,-0.00006431666304198636,-0.0006909657242670786,-0.0006266490612250922,17.788123264334057
2025-06-28T16:30:00+02:00,0.55967,0.559811,0.559281,0.559477,0.5589677500000053,0.5618833636106211,0.5560521363893896,52.55884282901707,43.118963615525516,NaN,NaN,NaN,NaN,0.00006974913338504804,-0.0005394626444937822,-0.0006092117778788303,16.969273123936972
2025-06-28T16:45:00+02:00,0.559477,0.559792,0.559477,0.559792,0.5588768000000053,0.5615612438188432,0.5561923561811674,54.036838995805134,43.65545979585609,NaN,NaN,NaN,NaN,0.0001757792440656334,-0.00038948772279678856,-0.000565266966862422,16.20891227928254
2025-06-28T17:00:00+02:00,0.559887,0.560673,0.559887,0.560673,0.5588983500000053,0.5616327409169429,0.5561639590830677,57.9798307542807,44.71874163184072,NaN,NaN,NaN,NaN,0.00029439901772060643,-0.0001972681947116639,-0.0004916672124322703,16.247816852971898
