TimeF,posterior,prior,likelihood,rule
1D,-21.958474629692464,-24.11678506690012,2.1583104372076574,"""lambda x: tuple_(not_(ge_(get_(x, i, ""ADX""), 23)), ge_(get_(x, i, ""ADX""), 27), 1, 1.0)"""
1D,-21.908537225326604,-24.11678506690012,2.2082478415735176,"""lambda x: tuple_(not_(ge_(get_(x, i, ""ADX""), 23)), ge_(get_(x, i, ""ADX""), 27), 1, 4.5)"""
1D,-21.884518197323853,-24.11678506690012,2.232266869576269,"""lambda x: tuple_(not_(ge_(get_(x, i, ""ADX""), 23)), ge_(get_(x, i, ""ADX""), 27), 1, 3.0)"""
1D,-21.87836022700815,-24.11678506690012,2.2384248398919677,"""lambda x: tuple_(not_(ge_(get_(x, i, ""ADX""), 23)), ge_(get_(x, i, ""ADX""), 27), 1, 4.0)"""
1D,-21.822249673850862,-24.11678506690012,2.2945353930492587,"""lambda x: tuple_(ge_(get_(x, i, ""ADX""), 52), not_(l_(get_(x, i, ""RSI""), 70)), 1, 0.0)"""
1D,-21.66501046058838,-24.11678506690012,2.451774606311742,"""lambda x: tuple_(ge_(get_(x, i, ""ADX""), 52), not_(l_(get_(x, i, ""RSI-based MA""), 65)), 1, 1.0)"""
1D,-21.660950473439478,-24.11678506690012,2.455834593460642,"""lambda x: tuple_(not_(ge_(get_(x, i, ""ADX""), 23)), ge_(get_(x, i, ""ADX""), 27), 1, 3.5)"""
1D,-21.65474716803986,-24.11678506690012,2.4620378988602614,"""lambda x: tuple_(ge_(get_(x, i, ""ADX""), 52), not_(l_(get_(x, i, ""RSI-based MA""), 65)), 1, 0.0)"""
1D,-21.625485109846938,-24.11678506690012,2.491299957053184,"""lambda x: tuple_(ge_(get_(x, i, ""ADX""), 52), not_(l_(get_(x, i, ""RSI-based MA""), 70)), 1, 0.0)"""
1D,-21.561775160241673,-24.11678506690012,2.555009906658449,"""lambda x: tuple_(not_(le_(get_(x, i, ""RSI""), 74)), l_(get_(x, i, ""RSI""), 48), 1, 3.5)"""
